3;1;AIM-9P OR -9P-1;AIM-9P OR -9P-1;1/9;166.00;364.10;189.40;
4;1;AIM-9P-2, -9P-3, OR -9P-4;AIM-9P-2, -9P-3, OR -9P-4;1/9;178.00;365.00;189.40;
5;1;AIM-9L OR -9M;AIM-9L OR -9M;1/9;195.00;365.50;189.40;
6;1;AIM-9P OR -9P-1;AIM-9P OR -9P-1;1/9;166.00;363.10;189.10;
7;1;AIM-9P-2, -9P-3, OR -9P-4;AIM-9P-2, -9P-3, OR -9P-4;1/9;178.00;364.00;189.10;
8;1;AIM-9L OR -9M;AIM-9L OR -9M;1/9;195.00;364.50;189.10;
9;1;AIM-9X;AIM-9X;1/9;186.00;365.00;189.10;
10;1;AIM-120A;AIM-120A;1/9;339.00;360.50;189.70;
11;1;AIM-120B;AIM-120B;1/9;341.00;360.50;189.80;
12;1;AIM-120C;AIM-120C;1/9;341.00;360.50;189.80;
13;1;AIM-120C-5 OR C-6;AIM-120C-5 OR C-6;1/9;355.00;360.30;189.80;
14;1;AIM-120C-7;AIM-120C-7;1/9;356.00;360.30;189.80;
15;1;AIM-9 (INERT);AIM-9 (INERT);1/9;169.00;363.00;189.40;
16;1;AIM-9 (INERT);AIM-9 (INERT);1/9;169.00;362.00;189.10;
17;1;CATM-120A, B;CATM-120A, B;1/9;345.00;360.50;189.70;
18;1;CATM-120C (101);CATM-120C (101);1/9;341.00;360.50;189.80;
19;1;AIM-9L AMD;AIM-9L AMD;1/9;184.00;364.70;189.40;
20;1;AIM-9L AMD;AIM-9L AMD;1/9;184.00;363.70;189.10;
21;1;AIM-9P AMD;AIM-9P AMD;1/9;178.00;366.00;189.40;
22;1;AIM-9P AMD;AIM-9P AMD;1/9;178.00;365.00;189.10;
23;1;AIS OR ACMI POD;AIS OR ACMI POD;1/9;123.00;363.40;189.40;
24;1;AIS OR ACMI POD;AIS OR ACMI POD;1/9;123.00;362.30;189.10;
25;1;AN/ARQ-52(V)-2, 3, 4;AN/ARQ-52(V)-2, 3, 4;1/9;130.00;364.30;189.40;
26;1;AN/ARQ-52(V)-2, 3, 4;AN/ARQ-52(V)-2, 3, 4;1/9;130.00;363.30;189.10;
27;1;AN/ARQ-52B(V)-2;AN/ARQ-52B(V)-2;1/9;139.00;364.80;189.40;
28;1;AN/ARQ-52B(V)-2;AN/ARQ-52B(V)-2;1/9;139.00;363.80;189.10;
29;1;AN/ARQ-52B(V)-17;AN/ARQ-52B(V)-17;1/9;135.00;364.00;189.40;
30;1;AN/ARQ-52B(V)-17;AN/ARQ-52B(V)-17;1/9;135.00;363.00;189.10;
31;1;GRDCS II SHOOTER POD;GRDCS II SHOOTER POD;1/9;127.00;363.30;189.40;
32;1;GRDCS II SHOOTER POD;GRDCS II SHOOTER POD;1/9;127.00;362.30;189.10;
39;1;AIM-9P OR -9P-1;AIM-9P OR -9P-1;2/8;166.00;354.50;157.00;
40;1;AIM-9P-2, -9P-3, OR -9P-4;AIM-9P-2, -9P-3, OR -9P-4;2/8;178.00;355.40;157.00;
41;1;AIM-9L OR -9M;AIM-9L OR -9M;2/8;195.00;355.90;157.00;
45;1;AIM-9P OR -9P-1;AIM-9P OR -9P-1;2/8;166.00;353.40;157.00;
46;1;AIM-9P-2, -9P-3, OR -9P-4;AIM-9P-2, -9P-3, OR -9P-4;2/8;178.00;354.30;157.00;
47;1;AIM-9L OR -9M;AIM-9L OR -9M;2/8;195.00;354.80;157.00;
48;1;AIM-9X;AIM-9X;2/8;186.00;355.50;157.00;
57;1;AIM-120A;AIM-120A;2/8;339.00;350.90;157.00;
58;1;AIM-120B;AIM-120B;2/8;341.00;350.90;157.00;
59;1;AIM-120C;AIM-120C;2/8;341.00;350.90;157.00;
60;1;AIM-120C-5 OR -6;AIM-120C-5 OR -6;2/8;355.00;350.70;157.00;
61;1;AIM-120C-7;AIM-120C-7;2/8;356.00;350.70;157.00;
62;1;AIM-9 (INERT);AIM-9 (INERT);2/8;169.00;353.40;157.00;
64;1;AIM-9 (INERT);AIM-9 (INERT);2/8;169.00;352.30;157.00;
66;1;CATM-120A, B;CATM-120A, B;2/8;345.00;350.90;157.00;
68;1;CATM-120C (101);CATM-120C (101);2/8;341.00;350.90;157.00;
69;1;CATM-120C (101);CATM-120C (101);2/8;341.00;350.90;157.00;
70;1;AIM-9L AMD;AIM-9L AMD;2/8;184.00;355.10;157.00;
71;1;AIM-9L AMD;AIM-9L AMD;2/8;184.00;354.00;157.00;
74;1;AIM-9P AMD;AIM-9P AMD;2/8;178.00;356.40;157.00;
75;1;AIM-9P AMD;AIM-9P AMD;2/8;178.00;355.40;157.00;
78;1;AIS OR ACMI POD;AIS OR ACMI POD;2/8;123.00;353.80;157.00;
80;1;AIS OR ACMI POD;AIS OR ACMI POD;2/8;123.00;352.70;157.00;
82;1;AN/ARQ-52(V)-2, -3, -4;AN/ARQ-52(V)-2, -3, -4;2/8;130.00;354.70;157.00;
83;1;AN/ARQ-52(V)-2, -3, -4;AN/ARQ-52(V)-2, -3, -4;2/8;130.00;353.70;157.00;
86;1;AN/ARQ-52(V)-7;AN/ARQ-52(V)-7;2/8;135.00;355.40;157.00;
87;1;AN/ARQ-52(V)-7;AN/ARQ-52(V)-7;2/8;135.00;354.30;157.00;
90;1;AN/ARQ-52B(V)-2;AN/ARQ-52B(V)-2;2/8;139.00;355.20;157.00;
91;1;AN/ARQ-52B(V)-2;AN/ARQ-52B(V)-2;2/8;139.00;354.20;157.00;
92;1;AN/ARQ-52B(V)-17;AN/ARQ-52B(V)-17;2/8;135.00;354.30;157.00;
93;1;AN/ARQ-52B(V)-17;AN/ARQ-52B(V)-17;2/8;135.00;353.30;157.00;
94;1;GRDCS II SHOOTER POD;GRDCS II SHOOTER POD;2/8;127.00;353.60;157.00;
96;1;GRDCS II SHOOTER POD;GRDCS II SHOOTER POD;2/8;127.00;352.60;157.00;
129;1;AIM-9P OR -9P-1;AIM-9P OR -9P-1;3/7;166.00;328.40;120.00;
130;1;AIM-9P-2, -9P-3, OR -9P-4;AIM-9P-2, -9P-3, OR -9P-4;3/7;178.00;329.30;120.00;
131;1;AIM-9L OR -9M;AIM-9L OR -9M;3/7;195.00;329.80;120.00;
132;1;AIM-9P OR -9P-1;AIM-9P OR -9P-1;3/7;166.00;327.40;120.00;
133;1;AIM-9P-2, -9P-3, OR -9P-4;AIM-9P-2, -9P-3, OR -9P-4;3/7;178.00;328.30;120.00;
134;1;AIM-9L OR -9M;AIM-9L OR -9M;3/7;195.00;328.80;120.00;
135;1;AIM-9X;AIM-9X;3/7;186.00;329.30;120.00;
136;1;AIM-120A;AIM-120A;3/7;339.00;324.90;120.00;
137;1;AIM-120B;AIM-120B;3/7;341.00;324.90;120.00;
138;1;AIM-120C;AIM-120C;3/7;341.00;324.90;120.00;
139;1;AIM-120C-5 OR -6;AIM-120C-5 OR -6;3/7;355.00;324.60;120.00;
140;1;AIM-120C-7;AIM-120C-7;3/7;356.00;324.60;120.00;
141;1;AGM-65A, B INBOARD;AGM-65A, B;3/7;464.00;336.90;103.70;
142;1;AGM-65A, B CENTER;AGM-65A, B;3/7;464.00;337.60;120.00;
143;1;AGM-65A, B OUTBOARD;AGM-65A, B;3/7;464.00;336.90;136.40;
144;1;AGM-65D INBOARD;AGM-65D;3/7;486.00;335.70;103.70;
145;1;AGM-65D CENTER;AGM-65D;3/7;486.00;336.40;120.00;
146;1;AGM-65D OUTBOARD;AGM-65D;3/7;486.00;335.70;136.40;
147;1;AGM-65H INBOARD;AGM-65H;3/7;471.00;336.40;103.70;
148;1;AGM-65H CENTER;AGM-65H;3/7;471.00;337.10;120.00;
149;1;AGM-65H OUTBOARD;AGM-65H;3/7;471.00;336.40;136.40;
150;1;AGM-65A, B;AGM-65A, B;3/7;464.00;341.80;120.00;
151;1;AGM-65D;AGM-65D;3/7;486.00;340.60;120.00;
152;1;AGM-65G;AGM-65G;3/7;672.00;337.20;120.00;
153;1;AGM-65H;AGM-65H;3/7;471.00;341.30;120.00;
154;1;AGM-65K;AGM-65K;3/7;657.00;338.20;120.00;
155;1;AGM-88B, C;AGM-88B, C;3/7;770.00;325.40;120.00;
156;1;AGM-154A (JSOW);AGM-154A (JSOW);3/7;1064.00;339.30;120.00;
157;1;AGM-154/A INBOARD;AGM-154/A;3/7;1064.00;339.60;108.10;
158;1;AGM-154/A OUTBOARD;AGM-154/A;3/7;1064.00;339.60;131.90;
159;1;AGM-154/B INBOARD;AGM-154/B;3/7;1046.00;338.80;108.10;
160;1;AGM-154/B OUTBOARD;AGM-154/B;3/7;1046.00;338.80;131.90;
161;1;AGM-158A (JASSM);AGM-158A;3/7;2160.00;340.00;120.00;
162;19;ROCKETS W/MK-4 RM & M151, M156 OR WTU-1B WH;ROCKETS;3/7;22.00;336.40;120.00;
163;19;ROCKETS W/MK-4 RM & MK-1, MK-5 OR WK-61 WH;ROCKETS;3/7;18.00;336.70;120.00;
164;19;ROCKETS W/MK-4 RM & M151 OR M156 WARHEAD CENTER;ROCKETS;3/7;22.00;337.20;120.00;
165;19;ROCKETS W/MK-4 RM & M151 OR M156 WARHEAD OUTBOARD;ROCKETS;3/7;22.00;336.50;131.30;
166;19;ROCKETS W/MK-4 RM & MK-1 OR MK-5 WARHEAD CENTER;ROCKETS;3/7;18.00;337.50;120.00;
167;19;ROCKETS W/MK-4 RM & MK-1 OR MK-5 WARHEAD OUTBOARD;ROCKETS;3/7;18.00;336.90;131.30;
168;7;ROCKETS W/MK-4 RM & M151 OR M156 WARHEAD CENTER;ROCKETS;3/7;22.00;340.20;120.00;
169;7;ROCKETS W/MK-4 RM & M151 OR M156 WARHEAD OUTBOARD;ROCKETS;3/7;22.00;339.70;129.40;
170;7;ROCKETS W/MK-4 RM & MK-1 OR MK-5 WARHEAD CENTER;ROCKETS;3/7;18.00;343.20;120.00;
171;7;ROCKETS W/MK-4 RM & MK-1 OR MK-5 WARHEAD OUTBOARD;ROCKETS;3/7;18.00;342.60;129.40;
172;1;CBU-87/B, A/B, B/B, C/B;CBU-87;3/7;950.00;339.10;120.00;
173;1;CBU-89/B, A/B;CBU-89;3/7;702.00;339.40;120.00;
174;1;CBU-97/B;CBU-97;3/7;951.00;339.70;120.00;
175;1;CBU-103/B, A/B, B/B (WCMD);CBU-103;3/7;957.00;340.10;120.00;
176;1;CBU-104/B, A/B (WCMD);CBU-104;3/7;744.00;342.20;120.00;
177;1;CBU-105/B, A/B (WCMD);CBU-105;3/7;945.00;341.70;120.00;
178;1;CBU-105D/B (WCMD);CBU-105D;3/7;946.00;324.60;120.00;
179;1;CBU-107/B (PAW) (WCMD);CBU-107;3/7;996.00;341.50;120.00;
180;1;CBU-87/B, A/B, B/B, C/B CENTER;CBU-87;3/7;950.00;339.90;120.00;
181;1;CBU-87/B, A/B, B/B, C/B OUTBOARD;CBU-87;3/7;950.00;339.30;131.30;
182;1;CBU-89/B, A/B CENTER;CBU-89;3/7;702.00;340.20;120.00;
183;1;CBU-89/B, A/B OUTBOARD;CBU-89;3/7;702.00;339.60;131.30;
184;1;CBU-97/B CENTER;CBU-97;3/7;951.00;340.50;120.00;
185;1;CBU-97/B OUTBOARD;CBU-97;3/7;951.00;339.90;131.30;
186;1;CBU-103/B, A/B, B/B (WCMD) INBOARD;CBU-103;3/7;957.00;340.40;108.20;
187;1;CBU-103/B, A/B, B/B (WCMD) OUTBOARD;CBU-103;3/7;957.00;340.40;131.80;
188;1;CBU-104/B, A/B (WCMD) INBOARD;CBU-104;3/7;744.00;342.60;108.20;
189;1;CBU-104/B, A/B (WCMD) OUTBOARD;CBU-104;3/7;744.00;342.60;131.80;
190;1;CBU-105/B, A/B, B/B (WCMD) INBOARD;CBU-105;3/7;945.00;342.00;108.20;
191;1;CBU-105/B, A/B, B/B (WCMD) OUTBOARD;CBU-105;3/7;945.00;342.00;131.80;
192;1;CBU-105D/B (WCMD) INBOARD;CBU-105D;3/7;946.00;342.00;108.20;
193;1;CBU-105D/B (WCMD) OUTBOARD;CBU-105D;3/7;946.00;342.00;131.80;
194;1;CBU-107/B (WCMD) INBOARD;CBU-107;3/7;996.00;341.90;108.20;
195;1;CBU-107/B (WCMD) OUTBOARD;CBU-107;3/7;996.00;341.90;131.80;
196;1;M129E2;M129E2;3/7;229.00;343.80;120.00;
197;1;PDU-5/B;PDU-5/B;3/7;283.00;339.70;120.00;
198;1;MK 82 LDGP;MK 82 LDGP;3/7;510.00;338.60;120.00;
199;1;MK 82 LDGP (OR BDU-50/B) INBOARD;MK 82 LDGP;3/7;510.00;338.80;110.40;
200;1;MK 82 LDGP (OR BDU-50/B) CENTER;MK 82 LDGP;3/7;510.00;339.40;120.00;
201;1;MK 82 LDGP (OR BDU-50/B) OUTBOARD;MK 82 LDGP;3/7;510.00;338.80;129.60;
202;1;MK 84;MK 84;3/7;1970.00;338.20;120.00;
203;1;MK 82 AIR;MK 82 AIR;3/7;540.00;340.50;120.00;
204;1;MK 82 AIR INBOARD;MK 82 AIR;3/7;540.00;340.70;110.40;
205;1;MK 82 AIR CENTER;MK 82 AIR;3/7;540.00;341.30;120.00;
206;1;MK 82 AIR OUTBOARD;MK 82 AIR;3/7;540.00;340.70;129.60;
207;1;MK 84 AIR;MK 84 AIR;3/7;2010.00;338.30;120.00;
208;1;BLU-107/B;BLU-107;3/7;482.00;343.90;120.00;
209;1;BLU-107/B INBOARD;BLU-107;3/7;482.00;344.10;110.70;
210;1;BLU-107/B CENTER;BLU-107;3/7;482.00;344.70;120.00;
211;1;BLU-107/B OUTBOARD;BLU-107;3/7;482.00;344.10;129.30;
212;1;BLU-109/B;BLU-109;3/7;2020.00;337.60;120.00;
213;1;GBU-10C/B, D/B, E/B, F/B;GBU-10C/B, D/B, E/B, F/B;3/7;2052.00;336.10;120.00;
214;1;GBU-10G/B, H/B, J/B;GBU-10G/B, H/B, J/B;3/7;2135.00;336.70;120.00;
215;1;GBU-12B/B, C/B, D/B, E/B;GBU-12;3/7;611.00;337.90;120.00;
216;1;GBU-24A/B;GBU-24A;3/7;2354.00;337.10;120.00;
217;1;GBU-24/B;GBU-24;3/7;2306.00;336.80;120.00;
218;1;GBU-27A/B;GBU-27A;3/7;2218.00;335.00;120.00;
219;1;GBU-27/B;GBU-27;3/7;2185.00;334.70;120.00;
220;1;GBU-31(V)1/B (JDAM);GBU-31;3/7;2071.00;339.80;120.00;
221;1;GBU-31B(V)1/B (JDAM);GBU-31B;3/7;2064.00;340.00;120.00;
222;1;GBU-31C(V)1/B (JDAM);GBU-31C;3/7;2066.00;340.00;120.00;
223;1;GBU-31(V)3/B (JDAM);GBU-31(V)3;3/7;2144.00;339.30;120.00;
224;1;GBU-31B(V)3/B (JDAM);GBU-31B(V)3;3/7;2135.00;339.20;120.00;
225;1;GBU-31C(V)3/B (JDAM);GBU-31C(V)3;3/7;2136.00;339.20;120.00;
226;1;GBU-38/B (JDAM);GBU-38;3/7;547.00;341.20;120.00;
227;1;GBU-38B/B (JDAM);GBU-38B;3/7;551.00;341.40;120.00;
228;1;GBU-38C/B (JDAM);GBU-38C;3/7;552.00;341.50;120.00;
229;1;GBU-38(V)4/B (LCBD-JDAM);GBU-38(V)4;3/7;555.00;341.70;120.00;
230;1;GBU-38(V)5/B, B(V)5/B, C(V)5/B (BLU-129);GBU-38(V)5;3/7;567.00;341.00;120.00;
231;1;GBU-38B(V)4/B (LCBD-JDAM);GBU-38B(V)4;3/7;554.00;341.70;120.00;
232;1;GBU-38C(V)4/B (LCBD-JDAM);GBU-38C(V)4;3/7;556.00;341.70;120.00;
233;1;GBU-51/B (LCBD-PW II);GBU-51;3/7;620.00;336.60;120.00;
234;1;GBU-54(V)5/B, B(V)5/B, C(V)5/B (BLU-129);GBU-54;3/7;567.00;341.00;120.00;
235;1;GBU-38(V)/B (JDAM) INBOARD;GBU-38;3/7;547.00;341.60;108.40;
236;1;GBU-38(V)/B (JDAM) OUTBOARD;GBU-38;3/7;547.00;341.60;131.60;
237;1;GBU-38B/B (JDAM) INBOARD;GBU-38B;3/7;551.00;341.70;108.40;
238;1;GBU-38B/B (JDAM) OUTBOARD;GBU-38B;3/7;551.00;341.70;131.60;
239;1;GBU-38C/B (JDAM) INBOARD;GBU-38C;3/7;552.00;341.90;108.40;
240;1;GBU-38C/B (JDAM) OUTBOARD;GBU-38C;3/7;552.00;341.90;131.60;
241;1;GBU-38(V)4/B (LCBD-JDAM) INBOARD;GBU-38(V)4;3/7;555.00;342.00;108.40;
242;1;GBU-38(V)4/B (LCBD-JDAM) OUTBOARD;GBU-38(V)4;3/7;555.00;342.00;131.60;
243;1;GBU-38B(V)4/B (LCBD-JDAM) INBOARD;GBU-38B(V)4;3/7;554.00;342.00;108.40;
244;1;GBU-38B(V)4/B (LCBD-JDAM) OUTBOARD;GBU-38B(V)4;3/7;554.00;342.00;131.60;
245;1;GBU-38C(V)4/B (LCBD-JDAM) INBOARD;GBU-38C(V)4;3/7;556.00;342.10;108.40;
246;1;GBU-38C(V)4/B (LCBD-JDAM) OUTBOARD;GBU-38C(V)4;3/7;556.00;342.10;131.60;
247;1;GBU-38(V)5/B, B(V)5/B, C(V)5/B (BLU-129) INBOARD;GBU-38(V)5;3/7;567.00;341.40;108.40;
248;1;GBU-38(V)5/B, B(V)5/B, C(V)5/B (BLU-129) OUTBOARD;GBU-38(V)5;3/7;567.00;341.40;131.60;
249;1;GBU-54(V)1/B (L-JDAM) INBOARD;GBU-54(V)1;3/7;564.00;341.60;108.40;
250;1;GBU-54(V)1/B (L-JDAM) OUTBOARD;GBU-54(V)1;3/7;564.00;341.60;131.60;
251;1;GBU-54B(V)1/B (L-JDAM) INBOARD;GBU-54B(V)1;3/7;565.00;341.60;108.40;
252;1;GBU-54B(V)1/B (L-JDAM) OUTBOARD;GBU-54B(V)1;3/7;565.00;341.60;131.60;
253;1;GBU-54C(V)1/B (L-JDAM) INBOARD;GBU-54C(V)1;3/7;565.00;341.60;108.40;
254;1;GBU-54C(V)1/B (L-JDAM) OUTBOARD;GBU-54C(V)1;3/7;565.00;341.60;131.60;
255;1;GBU-54(V)5/B, B(V)5/B, C(V)5/B (BLU-129) INBOARD;GBU-54(V)5;3/7;567.00;341.40;108.40;
256;1;GBU-54(V)5/B, B(V)5/B, C(V)5/B (BLU-129) OUTBOARD;GBU-54(V)5;3/7;567.00;341.40;131.60;
257;1;GBU-12B/B, C/B, D/B, E/B CENTER;GBU-12;3/7;611.00;338.70;120.00;
258;1;GBU-12B/B, C/B, D/B, E/B OUTBOARD;GBU-12;3/7;611.00;338.10;129.60;
259;1;GBU-51/B (LCBD-PW II) CENTER;GBU-51;3/7;620.00;337.40;120.00;
260;1;GBU-51/B (LCBD-PW II) OUTBOARD;GBU-51;3/7;620.00;336.80;129.70;
261;1;GBU-54(V)1/B (L-JDAM);GBU-54(V)1;3/7;564.00;341.20;120.00;
262;1;GBU-54B(V)1/B (L-JDAM);GBU-54B(V)1;3/7;565.00;341.30;120.00;
263;1;GBU-54C(V)1/B (L-JDAM);GBU-54C(V)1;3/7;565.00;341.30;120.00;
264;1;BDU-38;BDU-38;3/7;716.00;338.80;120.00;
265;1;B-61 MOD 3, 4, 10, CTU-1, CTU-2, and VFA;B-61;3/7;751.00;339.70;120.00;
266;1;MINIATURE AIR LAUNCHED DECOY (MALD);MALD;3/7;101.00;339.60;120.00;
267;1;MINIATURE AIR LAUNCHED DECOY (MALD);MALD;3/7;101.00;339.60;120.00;
268;1;MINIATURE AIR LAUNCHED DECOY (MALD) CENTER;MALD;3/7;101.00;340.40;120.00;
269;1;MINIATURE AIR LAUNCHED DECOY (MALD) OUTBOARD;MALD;3/7;101.00;339.80;128.00;
270;1;MINIATURE AIR LAUNCHED DECOY (MALD) INBOARD;MALD;3/7;101.00;339.90;109.00;
271;1;MINIATURE AIR LAUNCHED DECOY (MALD) OUTBOARD;MALD;3/7;101.00;339.90;131.00;
272;1;ALQ-131(V)-4 THRU -6 (DEEP W/O RECEIVER PROCESSOR);ALQ-131(V)-4 THRU -6;3/7;659.00;334.00;120.00;
273;1;ALQ-131(V)-12 (DEEP, BLOCK II W/O RECEIVER PROCESSOR);ALQ-131(V)-12;3/7;674.00;334.40;120.00;
274;1;ALQ-131(V)-13 (SHALLOW, BLOCK II W/O RECEIVER PROCESSOR);ALQ-131(V)-13;3/7;574.00;336.40;120.00;
275;1;ALQ-131(V)-14 (DEEP, BLOCK II WITH RECEIVER PROCESSOR);ALQ-131(V)-14;3/7;674.00;333.50;120.00;
276;1;ALQ-131(V)-15 (SHALLOW, BLOCK II WITH RECEIVER PROCESSOR);ALQ-131(V)-15;3/7;614.00;334.80;120.00;
277;1;ALQ-184(V)-7;ALQ-184(V)-7;3/7;631.00;337.00;120.00;
278;1;ALQ-184(V)-8;ALQ-184(V)-8;3/7;471.00;338.00;120.00;
279;1;ALQ-184(V)-11;ALQ-184(V)-11;3/7;631.00;336.90;120.00;
280;1;ALQ-184(V)-12;ALQ-184(V)-12;3/7;474.00;338.30;120.00;
281;1;ALQ-184(V)-14;ALQ-184(V)-14;3/7;473.00;337.90;120.00;
282;1;ALQ-188(V);ALQ-188(V);3/7;313.00;339.80;120.00;
283;1;ALQ-188(V)-7, -8, -9, -10;ALQ-188(V)-7, -8, -9, -10;3/7;328.00;338.80;120.00;
284;1;ALQ-188(V)-13, -14;ALQ-188(V)-13, -14;3/7;327.00;338.00;120.00;
285;1;ALQ-188(V)-17, -18;ALQ-188(V)-17, -18;3/7;324.00;338.70;120.00;
286;1;ALQ-188(V)1-100;ALQ-188(V)1-100;3/7;319.00;339.60;120.00;
287;1;ALQ-188(V)1-101, -102;ALQ-188(V)1-101, -102;3/7;335.00;341.30;120.00;
288;1;ALQ-188(V)2-200, -201;ALQ-188(V)2-200, -201;3/7;349.00;340.40;120.00;
289;1;ALQ-188(V)3-300, -301;ALQ-188(V)3-300, -301;3/7;345.00;341.00;120.00;
290;1;AIM-9 (INERT);AIM-9 (INERT);3/7;169.00;327.30;120.00;
291;1;AIM-9 (INERT);AIM-9 (INERT);3/7;169.00;326.30;120.00;
292;1;CATM-120A, B, C;CATM-120A, B, C;3/7;345.00;324.90;120.00;
293;1;CATM-120C (101);CATM-120C (101);3/7;341.00;324.90;120.00;
294;1;ATM-88B, C;ATM-88;3/7;770.00;325.40;120.00;
295;1;CATM-65H, K INBOARD;CATM-65;3/7;474.00;336.20;103.70;
296;1;CATM-65H, K CENTER;CATM-65;3/7;474.00;336.90;120.00;
297;1;CATM-65H, K OUTBOARD;CATM-65;3/7;474.00;336.20;136.30;
298;1;CATM-65H, K;CATM-65;3/7;474.00;341.30;120.00;
299;1;CATM-88B, C (WITH WINGS AND FINS);CATM-88;3/7;795.00;324.90;120.00;
300;1;CATM-88B, C (W/O WINGS AND FINS);CATM-88;3/7;733.00;323.10;120.00;
301;1;ATM-154A (JSOW);ATM-154A;3/7;1078.00;339.20;120.00;
302;1;ATM-154B (JSOW);ATM-154B;3/7;1069.00;333.80;120.00;
303;1;TGM-65A, B INBOARD;TGM-65A, B;3/7;470.00;336.60;103.70;
304;1;TGM-65A, B CENTER;TGM-65A, B;3/7;470.00;337.30;120.00;
305;1;TGM-65A, B OUTBOARD;TGM-65A, B;3/7;470.00;336.60;136.30;
306;1;TGM-65D, G INBOARD;TGM-65D, G;3/7;474.00;334.60;103.70;
307;1;TGM-65D, G CENTER;TGM-65D, G;3/7;474.00;335.30;120.00;
308;1;TGM-65D, G OUTBOARD;TGM-65D, G;3/7;474.00;334.60;136.30;
309;1;TGM-65A, B;TGM-65A, B;3/7;470.00;341.50;120.00;
310;1;TGM-65D, G;TGM-65D, G;3/7;474.00;339.50;120.00;
311;4;2.75” FFAR M-151;2.75” FFAR M-151;3/7;21.00;352.40;120.00;
312;4;2.75” FFAR TARGET MARKING;2.75” FFAR TM;3/7;20.00;352.40;120.00;
313;6;BDU-33B/B OR -33D/B;6 x BDU-33;3/7;24.00;340.30;120.00;
314;3;BDU-33B/B OR -33D/B;3 x BDU-33;3/7;24.00;333.30;120.00;
315;1;BDU-50A/B, /B;BDU-50;3/7;510.00;338.60;120.00;
316;1;BDU-50A/B, /B INBOARD;BDU-50;3/7;510.00;338.80;110.40;
317;1;BDU-50A/B, /B CENTER;BDU-50;3/7;510.00;339.40;120.00;
318;1;BDU-50A/B, /B OUTBOARD;BDU-50;3/7;510.00;338.80;129.60;
319;1;BDU-56/B;BDU-56;3/7;1840.00;336.30;120.00;
320;6;MK 106;6 x MK 106;3/7;5.00;341.70;120.00;
